cluster,rank,gene
Cycling.cancer.cell.2,39,RANBP1
Cycling.cancer.cell.2,40,TMPO
Cycling.cancer.cell.2,41,MAD2L1
Cycling.cancer.cell.2,42,FANCI
Cycling.cancer.cell.2,43,CENPX
Cycling.cancer.cell.2,44,TMEM106C
Cycling.cancer.cell.2,45,DHFR
Cycling.cancer.cell.2,46,PRKDC
Cycling.cancer.cell.2,47,HMGN2
Cycling.cancer.cell.2,48,ORC6
Cycling.cancer.cell.2,49,DTYMK
Cycling.cancer.cell.2,50,ASPM
OV.065.specific.1,1,OVGP1
OV.065.specific.1,2,SCGB3A1
OV.065.specific.1,3,CRISP3
OV.065.specific.1,4,PLCG2
OV.065.specific.1,5,PTMS
OV.065.specific.1,6,CCND1
OV.065.specific.1,7,SNHG9
OV.065.specific.1,8,PEG10
OV.065.specific.1,9,DSTN
OV.065.specific.1,10,APOLD1
OV.065.specific.1,11,TOP2A
OV.065.specific.1,12,YWHAE
OV.065.specific.1,13,EPB41L2
OV.065.specific.1,14,CDC20
OV.065.specific.1,15,RBMX
OV.065.specific.1,16,PTPRA
OV.065.specific.1,17,MYL12B
OV.065.specific.1,18,SNHG25
OV.065.specific.1,19,SNHG19
OV.065.specific.1,20,PABPC4
OV.065.specific.1,21,AMD1
OV.065.specific.1,22,WBP11
OV.065.specific.1,23,BRD9
OV.065.specific.1,24,METAP2
OV.065.specific.1,25,RBM8A
OV.065.specific.1,26,PPT1
OV.065.specific.1,27,MYL6B
OV.065.specific.1,28,NMT1
OV.065.specific.1,29,SNRPB
OV.065.specific.1,30,PGR
OV.065.specific.1,31,ST13
OV.065.specific.1,32,TTYH1
OV.065.specific.1,33,PA2G4
OV.065.specific.1,34,AP2B1
OV.065.specific.1,35,TMCO1
OV.065.specific.1,36,HNRNPM
OV.065.specific.1,37,NSA2
OV.065.specific.1,38,WDR70
OV.065.specific.1,39,HMGB1
OV.065.specific.1,40,VIM
OV.065.specific.1,41,TBCA
OV.065.specific.1,42,HSP90B1
OV.065.specific.1,43,CBX3
OV.065.specific.1,44,CST3
OV.065.specific.1,45,MT-ND4L
OV.065.specific.1,46,EIF2S2
OV.065.specific.1,47,SFRP1
OV.065.specific.1,48,ANO1
OV.065.specific.1,49,TMA7
OV.065.specific.1,50,ATP5ME
OV.075.specific,1,TAGLN
OV.075.specific,2,TPM2
OV.075.specific,3,LGALS1
OV.075.specific,4,ACTA2
OV.075.specific,5,CALD1
OV.075.specific,6,MT1H
OV.075.specific,7,RAB32
OV.075.specific,8,NMU
OV.075.specific,9,SELENOP
OV.075.specific,10,CDKN2A
OV.075.specific,11,MT1G
OV.075.specific,12,ANXA3
OV.075.specific,13,CCT5
OV.075.specific,14,VIM
OV.075.specific,15,COTL1
OV.075.specific,16,NDUFS6
OV.075.specific,17,FHL2
OV.075.specific,18,AKAP12
OV.075.specific,19,YBX1
OV.075.specific,20,MT1M
OV.075.specific,21,SUB1
OV.075.specific,22,MYL9
OV.075.specific,23,MYH9
OV.075.specific,24,CLDN7
OV.075.specific,25,MYL12A
OV.075.specific,26,CD47
OV.075.specific,27,IL32
OV.075.specific,28,EEF1B2
OV.075.specific,29,ANXA5
OV.075.specific,30,PCDH10
OV.075.specific,31,IL15
OV.075.specific,32,S100A10
OV.075.specific,33,PFN1
OV.075.specific,34,IGFBP2
OV.075.specific,35,PDCD6
OV.075.specific,36,KIF5B
OV.075.specific,37,ACTR3
OV.075.specific,38,EEF1D
OV.075.specific,39,TPM3
OV.075.specific,40,TAGLN2
OV.075.specific,41,PPA1
OV.075.specific,42,PDCL2
OV.075.specific,43,COX4I1
OV.075.specific,44,UQCRH
OV.075.specific,45,MUC12
OV.075.specific,46,LINC02432
OV.075.specific,47,GPR19
OV.075.specific,48,RASGRP2
OV.075.specific,49,LMOD1
OV.075.specific,50,HPD
OV.081.specific,1,MESP1
OV.081.specific,2,CLEC11A
OV.081.specific,3,ANPEP
OV.081.specific,4,COX4I1
OV.081.specific,5,NPW
OV.081.specific,6,ASRGL1
OV.081.specific,7,ANXA1
OV.081.specific,8,CKB
OV.081.specific,9,CFD
OV.081.specific,10,LINC01436
OV.081.specific,11,SCGB2A1
OV.081.specific,12,REG1A
OV.081.specific,13,NDUFA1
OV.081.specific,14,IDH1
OV.081.specific,15,ATP5F1A
OV.081.specific,16,MUC5B
OV.081.specific,17,FBXO2
OV.081.specific,18,ATP5MC3
